gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
MIMAT0001539	13.38141	0.1968358477	0.24958158	0.1422934	NA
MIMAT0001540	43.24732	0.3145025057	0.2225156	0.03204351	0.1173974
MIMAT0001544	0.5446374	0.0459437822	0.30243856	0.4645723	NA
MIMAT0001548	41.80115	-0.154788936	0.21282016	0.2805836	0.4786427
MIMAT0006593	0.9296913	-0.0260450452	0.28242305	0.7621587	NA
MIMAT0006594	37113.52	-0.2745524733	0.16955391	0.04354735	0.1365268
MIMAT0006595	4372.294	0.0257352292	0.20969069	0.8565466	0.8898353
MIMAT0006596	4.441791	0.062167796	0.24448045	0.636729	NA
MIMAT0006597	8.993118	-0.2546261563	0.23203947	0.07584464	NA
MIMAT0006598	1.200987	0.1223207837	0.29717071	0.1679778	NA
MIMAT0006599	36.61993	-0.1942268869	0.22816411	0.1720231	0.3508086
MIMAT0006600	0.411	-0.000978653	0.30381579	0.9851064	NA
MIMAT0007747	3.134051	0.0887988865	0.26160178	0.4534667	NA
MIMAT0006601	0.1763998	-0.014734351	0.33186772	0.6664037	NA
MIMAT0006602	287.4117	0.0983757704	0.22411803	0.485153	0.6780452
MIMAT0006603	0.3416244	0.0441389413	0.32699151	0.3573518	NA
MIMAT0006604	1393.257	-0.3334644447	0.16052702	0.01170896	0.09543298
MIMAT0006605	140.9159	-0.2293720872	0.19516429	0.1094244	0.2644424
MIMAT0006606	322.3801	0.0302690483	0.26444877	0.7887125	0.8574984
MIMAT0006607	32.41192	0.3288549099	0.22879678	0.02500911	0.1074466
MIMAT0006608	193.8259	0.3503080972	0.19129422	0.01491634	0.09543298
MIMAT0006609	149.0597	0.5729800779	0.2376011	0.0002363159	0.00913755
MIMAT0006610	10252.4	-0.3105979053	0.20259793	0.03294101	0.1173974
MIMAT0006612	54.66974	0.1500663842	0.20992655	0.2956023	0.4969546
MIMAT0006613	386.2204	0.0777882103	0.18441771	0.5783162	0.7547548
MIMAT0006614	9375.725	0.1306231487	0.18371147	0.3507873	0.542551
MIMAT0006615	6962.16	0.076041608	0.222398	0.5897102	0.7596514
MIMAT0006616	11346.82	-0.3171162341	0.1612188	0.01673543	0.09543298
MIMAT0006617	39.85358	-0.0662221916	0.15876635	0.6127923	0.7726512
MIMAT0006618	3.555114	-0.016882474	0.24330656	0.8980776	NA
MIMAT0006619	18359.54	3.4515907009	0.58540343	1.107937e-09	1.285207e-07
MIMAT0006620	10.82304	-0.0337342248	0.24205174	0.7993325	NA
MIMAT0006621	3.252679	0.0477617612	0.26180089	0.6817577	NA
MIMAT0006622	11.69057	-0.0625565983	0.20016871	0.6604285	NA
MIMAT0006623	177.9538	0.1200324132	0.20886889	0.4015887	0.5777497
MIMAT0006624	28.79859	0.1880819961	0.19526363	0.1879495	0.3633691
MIMAT0006625	122.2744	-0.2600165993	0.17716888	0.06103002	0.1778681
MIMAT0006626	2001.342	-0.0510163184	0.14708295	0.6832044	0.7925171
MIMAT0006627	844.1224	0.0253431311	0.11218375	0.8047423	0.8574984
MIMAT0010196	1.659798	0.2059190849	0.40896727	0.02584631	NA
MIMAT0006628	3.944839	-0.0428418886	0.25837076	0.7209601	NA
MIMAT0006629	1.529981	-0.0346111154	0.27667751	0.7185183	NA
MIMAT0011132	158856.1	-0.033169327	0.16057528	0.8010728	0.8574984
MIMAT0032036	159848.3	-0.0331890883	0.16034883	0.8008081	0.8574984
MIMAT0006630	0.08046057	0.007478201	0.33460125	0.8085544	NA
MIMAT0006631	199.0824	0.3039746894	0.18881372	0.03318361	0.1173974
MIMAT0006632	73.33882	0.2978747009	0.21257687	0.04175906	0.1353467
MIMAT0006633	858.318	-0.2355229263	0.1574353	0.07106666	0.1917147
MIMAT0006634	522.9512	-0.36383378	0.17461322	0.008658138	0.07725723
MIMAT0006635	15.18794	-0.054908194	0.22841302	0.6931065	NA
MIMAT0006636	104.1691	0.0703197451	0.19629845	0.6206058	0.774089
MIMAT0006637	122270.8	-0.3422758108	0.13792211	0.004303568	0.06240174
MIMAT0006638	49695.52	-0.1128711781	0.14820626	0.3689513	0.5558227
MIMAT0006639	425.5459	-0.0622405247	0.22601416	0.6564958	0.7850878
MIMAT0006640	67.88451	0.1224897423	0.19408861	0.3886246	0.5777497
MIMAT0006641	73.94247	0.078586565	0.18020175	0.5713993	0.7547548
MIMAT0006642	233.3957	0.1951675479	0.21576203	0.1754043	0.3508086
MIMAT0006643	0.8462478	0.0589009458	0.29868889	0.3994504	NA
MIMAT0006644	79.5449	0.1373246812	0.1803482	0.3235542	0.5212627
MIMAT0006645	7.815514	0.1854890547	0.25497676	0.1544283	NA
MIMAT0006646	4.968247	0.0099232409	0.22952362	0.9428679	NA
MIMAT0006647	1243.342	-0.2924576128	0.15344839	0.02297268	0.1065932
MIMAT0006648	333428.7	-0.2498143434	0.13409878	0.03339753	0.1173974
MIMAT0006649	85.95839	-0.3388049155	0.21208795	0.02134918	0.1065932
MIMAT0006650	7.430094	-0.2151586085	0.23683141	0.125806	NA
MIMAT0006651	3195.515	-0.2806627099	0.12695214	0.01283684	0.09543298
MIMAT0006652	5.63086	-0.2154662437	0.24603202	0.1157456	NA
MIMAT0006653	2077.806	0.013009345	0.17726059	0.9248335	0.9365191
MIMAT0006654	7.938857	0.1410260406	0.22630712	0.3180304	NA
MIMAT0006655	453.8772	-0.4387416105	0.15472661	0.0007261297	0.02105776
MIMAT0006656	75.02563	0.3568976716	0.24542646	0.01431994	0.09543298
MIMAT0006657	1.237189	-0.0504727869	0.28676091	0.5379954	NA
MIMAT0006658	5768.051	0.093002224	0.17031765	0.4930085	0.6808213
MIMAT0006659	336.1501	0.0302725772	0.16739982	0.8218968	0.8667276
MIMAT0006660	1572.03	-0.1423393928	0.14727379	0.2553569	0.4488091
MIMAT0006661	726.2031	0.0632761076	0.16288047	0.6333914	0.7789726
MIMAT0006662	7.28064	0.1113890671	0.27930717	0.2709576	NA
MIMAT0006663	5.235072	-0.1363239346	0.23429225	0.3254756	NA
MIMAT0006664	92.05521	0.0653839735	0.21496141	0.6455274	0.7800123
MIMAT0006665	206.8832	-0.1554623983	0.12860866	0.1723804	0.3508086
MIMAT0006666	1793.009	-0.157978926	0.16854629	0.242456	0.4326907
MIMAT0006667	0.4059625	0.0336481919	0.31341396	0.5079146	NA
MIMAT0006668	124.1849	0.1958930183	0.21541004	0.1739145	0.3508086
MIMAT0006669	2432.768	0.0321474301	0.1585397	0.8057528	0.8574984
MIMAT0006670	174.2065	0.6540851817	0.22020328	2.317511e-05	0.001344156
MIMAT0006671	660.9562	0.0884053175	0.17274054	0.517277	0.7059309
MIMAT0006672	1.491976	-0.019703527	0.27370772	0.8438636	NA
MIMAT0006673	38.26996	0.2499002786	0.20705188	0.08492725	0.2189236
MIMAT0006674	2.780205	-0.0708657023	0.27906274	0.4591221	NA
MIMAT0006675	896.7019	0.1395884175	0.21819018	0.328036	0.5212627
MIMAT0006676	4204.391	-0.3553775631	0.16219412	0.007619857	0.07365862
MIMAT0006677	39.65743	-0.0668966407	0.149232	0.5959334	0.7596514
MIMAT0006678	25913.55	-0.1112073224	0.16376287	0.4034286	0.5777497
MIMAT0006679	4.034173	-0.1421985135	0.24399837	0.2900596	NA
MIMAT0006680	6.427659	0.1466643216	0.25044729	0.2620436	NA
MIMAT0006681	50.37345	0.2115737536	0.21030282	0.1431237	0.3255362
MIMAT0006682	6075.501	0.2382698591	0.26104522	0.06949651	0.1917147
MIMAT0006683	159.3632	0.2507522301	0.20322848	0.08318331	0.2189236
MIMAT0006684	19.12076	-0.0183230721	0.21891494	0.8968184	NA
MIMAT0006685	4.700983	-0.1269949266	0.24150337	0.3473963	NA
MIMAT0006686	9.908304	-0.0040803391	0.21613227	0.9770301	NA
MIMAT0006687	2550.465	-0.1889557689	0.16195971	0.1537714	0.3303237
MIMAT0006688	1.454678	-0.0470844459	0.27627487	0.6289741	NA
MIMAT0006689	105.0879	-0.2359512358	0.15465567	0.06761496	0.1913009
MIMAT0006690	111.3558	0.2060274575	0.19519454	0.1497335	0.3303237
MIMAT0006691	14.32348	0.1439662954	0.22021279	0.3123964	NA
MIMAT0006692	67.26792	0.105005794	0.15729468	0.4199558	0.5940838
MIMAT0006693	0.4261645	0.045572628	0.30591595	0.4469427	NA
MIMAT0006694	96.84939	-0.3534697799	0.15627268	0.006656001	0.07019056
MIMAT0006695	165.8768	-0.3535902458	0.13815328	0.003224933	0.05344175
MIMAT0006696	55941.59	-0.2906091675	0.14287674	0.01794105	0.09543298
MIMAT0006697	1884.643	-0.167801706	0.14826092	0.1818594	0.3575542
MIMAT0006698	231.4705	0.0655366176	0.18188972	0.6379517	0.7789726
MIMAT0006699	51.53854	0.4557639643	0.35862071	0.002031494	0.04713067
MIMAT0006700	99.07299	-0.1694754304	0.21255326	0.2382898	0.4319003
MIMAT0011134	345.3302	-0.2770689531	0.18501434	0.05007678	0.1528659
MIMAT0006701	27.62084	-0.1652462263	0.17729315	0.2321704	0.429154
