gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
MIMAT0001539	13.38141	-1.050666695	0.36114389	0.0002353053	0.004235495
MIMAT0001540	43.24732	-0.0631544274	0.28031176	0.7960657	0.9003508
MIMAT0001544	0.5446374	-0.0500636275	0.5438643	0.8070619	0.9003508
MIMAT0001548	41.80115	-0.364804564	0.27303033	0.1282898	0.2440636
MIMAT0006593	0.9296913	0.2761225488	0.50481807	0.2850223	0.4497633
MIMAT0006594	37113.52	0.2788514868	0.19295391	0.1242447	0.2423522
MIMAT0006595	4372.294	-0.1368909261	0.27185185	0.5670304	0.7250552
MIMAT0006596	4.441791	-0.5311509786	0.35701678	0.05915681	0.1536253
MIMAT0006597	8.993118	0.4402428106	0.31034126	0.09198104	0.1956688
MIMAT0006598	1.200987	-0.121073312	0.50161423	0.6396611	0.7836685
MIMAT0006599	36.61993	0.3347097986	0.30510312	0.195291	0.3410306
MIMAT0006600	0.411	0.0176262816	0.55760552	0.9203645	NA
MIMAT0007747	3.134051	-0.7060116717	0.41029566	0.01642726	0.06101555
MIMAT0006601	0.1763998	0.0282846481	0.57890756	0.7887399	NA
MIMAT0006602	287.4117	0.2666190842	0.30242779	0.2995186	0.4611009
MIMAT0006603	0.3416244	-0.0920288481	0.56643585	0.549052	NA
MIMAT0006604	1393.257	0.5249721296	0.1788075	0.001960025	0.01473204
MIMAT0006605	140.9159	0.794876962	0.23961415	0.0002572106	0.004299092
MIMAT0006606	322.3801	0.0944589115	0.42358742	0.7444771	0.8667047
MIMAT0006607	32.41192	-0.1554105579	0.29084257	0.5350872	0.6994994
MIMAT0006608	193.8259	-0.1337593678	0.22260316	0.5137754	0.6869911
MIMAT0006609	149.0597	0.5212846519	0.26439184	0.02612057	0.09122708
MIMAT0006610	10252.4	0.3872103758	0.24379602	0.07880291	0.1787977
MIMAT0006612	54.66974	-0.3448634629	0.26914288	0.1463124	0.271723
MIMAT0006613	386.2204	-0.3199152477	0.2235385	0.1195118	0.2369979
MIMAT0006614	9375.725	-0.4419332837	0.22131436	0.03009519	0.09516586
MIMAT0006615	6962.16	-0.5528474837	0.30159832	0.03132075	0.09643495
MIMAT0006616	11346.82	0.3379217449	0.17974221	0.04735051	0.1343614
MIMAT0006617	39.85358	0.2242334307	0.18543397	0.2006099	0.3477238
MIMAT0006618	3.555114	0.3161678832	0.37008215	0.2666326	0.4320996
MIMAT0006619	18359.54	-0.8435709825	0.42801761	0.004437174	0.02732365
MIMAT0006620	10.82304	-0.3863678945	0.35070304	0.165815	0.296178
MIMAT0006621	3.252679	-0.4684130251	0.41412186	0.109042	0.223823
MIMAT0006622	11.69057	0.5921267388	0.26704988	0.01215145	0.05048345
MIMAT0006623	177.9538	-0.3625233936	0.26834924	0.1259295	0.2423522
MIMAT0006624	28.79859	-0.5676827233	0.23982524	0.00904047	0.04501
MIMAT0006625	122.2744	0.4936363209	0.20666737	0.01028879	0.04815155
MIMAT0006626	2001.342	0.0416576404	0.1653915	0.7922794	0.9003508
MIMAT0006627	844.1224	-0.0422423892	0.12012202	0.7189229	0.8411398
MIMAT0010196	1.659798	-0.5056758187	0.52199109	0.04186385	0.1224518
MIMAT0006628	3.944839	0.0845616565	0.40419968	0.7703663	0.8880084
MIMAT0006629	1.529981	-0.17847693	0.46701265	0.5244475	0.6933373
MIMAT0011132	158856.1	0.3849792381	0.18560542	0.02807763	0.09134387
MIMAT0032036	159848.3	0.3843092724	0.18526018	0.02809352	0.09134387
MIMAT0006630	0.08046057	-0.0264513626	0.58120411	0.777336	NA
MIMAT0006631	199.0824	-0.9588039193	0.22328037	3.110111e-06	0.0001819415
MIMAT0006632	73.33882	-0.6451311041	0.26447801	0.005936869	0.03388359
MIMAT0006633	858.318	0.7056727768	0.17809962	2.958448e-05	0.000988967
MIMAT0006634	522.9512	0.6846049558	0.19827593	0.000226628	0.004235495
MIMAT0006635	15.18794	-0.229598618	0.31352091	0.3821092	0.5551583
MIMAT0006636	104.1691	-0.7327414668	0.24681757	0.0009927466	0.01055921
MIMAT0006637	122270.8	0.4614104929	0.14869331	0.001290574	0.01118497
MIMAT0006638	49695.52	0.2181671313	0.16641714	0.1701383	0.299341
MIMAT0006639	425.5459	0.638305593	0.31204899	0.01502374	0.05670251
MIMAT0006640	67.88451	-0.2195134397	0.23970917	0.3127106	0.4751577
MIMAT0006641	73.94247	-0.2773100138	0.21653084	0.1659175	0.296178
MIMAT0006642	233.3957	-0.6102381631	0.27934407	0.01235579	0.05048345
MIMAT0006643	0.8462478	0.1052759611	0.53513417	0.6322893	0.7787142
MIMAT0006644	79.5449	-0.5861218797	0.21579872	0.003306929	0.02275945
MIMAT0006645	7.815514	-0.049663445	0.37610015	0.8619169	0.9298553
MIMAT0006646	4.968247	0.0287197822	0.32360701	0.914476	0.9438642
MIMAT0006647	1243.342	0.6248191531	0.17061664	0.0001213098	0.002838648
