gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
MIMAT0001539	13.38141	-0.751128	0.31414194	0.0009514554	0.01527228
MIMAT0001540	43.24732	0.2021378	0.23945151	0.3041742	0.5419442
MIMAT0001544	0.5446374	0.03214396	0.41713438	0.8223692	0.9046061
MIMAT0001548	41.80115	-0.4527739	0.23284595	0.01962376	0.09836121
MIMAT0006593	0.9296913	0.1946984	0.39668412	0.2820623	0.518762
MIMAT0006594	37113.52	0.1027216	0.16754796	0.5022601	0.7105077
MIMAT0006595	4372.294	-0.105798	0.22480807	0.5766327	0.7601681
MIMAT0006596	4.441791	-0.4198823	0.29321062	0.05225725	0.1776825
MIMAT0006597	8.993118	0.212077	0.26242636	0.3030762	0.5419442
MIMAT0006598	1.200987	0.06711558	0.38936741	0.7115113	0.8333905
MIMAT0006599	36.61993	0.1557316	0.25352618	0.4419495	0.6695402
MIMAT0006600	0.411	0.01409345	0.42592449	0.9100157	0.9593082
MIMAT0007747	3.134051	-0.5348458	0.3390842	0.0170708	0.08814109
MIMAT0006601	0.1763998	0.005855967	0.44146903	0.9381079	NA
MIMAT0006602	287.4117	0.3278087	0.25281051	0.1060492	0.2948402
MIMAT0006603	0.3416244	-0.01967233	0.43212022	0.8565878	0.9301147
MIMAT0006604	1393.257	0.3115267	0.15957535	0.03401436	0.1445871
MIMAT0006605	140.9159	0.5973069	0.20921249	0.0009658358	0.01527228
MIMAT0006606	322.3801	0.1141864	0.33632085	0.5894508	0.7687167
MIMAT0006607	32.41192	0.1382837	0.24680729	0.4889247	0.7105077
MIMAT0006608	193.8259	0.1283048	0.19461058	0.4553123	0.6855266
MIMAT0006609	149.0597	0.9523567	0.25803755	5.786251e-06	0.0003659804
MIMAT0006610	10252.4	0.16035	0.20918398	0.3752431	0.6153117
MIMAT0006612	54.66974	-0.1968929	0.22426488	0.2981692	0.5388344
MIMAT0006613	386.2204	-0.2469152	0.18767103	0.1397919	0.357246
