gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
MIMAT0001539	13.38141	-0.3417894161	0.39313909	0.02671872	0.180061
MIMAT0001540	43.24732	0.2191132052	0.25059879	0.06173218	0.2657913
MIMAT0001544	0.5446374	0.0371510879	0.33739938	0.6303753	NA
MIMAT0001548	41.80115	-0.4042532437	0.32630694	0.009722957	0.08865049
MIMAT0006593	0.9296913	0.0679567974	0.31810452	0.4435445	NA
MIMAT0006594	37113.52	-0.0377089104	0.1297698	0.6303798	0.8424846
MIMAT0006595	4372.294	-0.0334748663	0.1647087	0.6953133	0.8754395
MIMAT0006596	4.441791	-0.1487598468	0.26482049	0.161177	NA
MIMAT0006597	8.993118	-0.0049318426	0.17914516	0.9538358	0.9846415
MIMAT0006598	1.200987	0.0804349107	0.31902358	0.3807651	NA
MIMAT0006599	36.61993	-0.0054462484	0.17520765	0.9489749	0.9846415
MIMAT0006600	0.411	0.0055366792	0.34810824	0.935451	NA
MIMAT0007747	3.134051	-0.1983221289	0.34291134	0.1003081	NA
MIMAT0006601	0.1763998	-0.0074026336	0.38069683	0.8707138	NA
MIMAT0006602	287.4117	0.1987907631	0.25775106	0.08285837	0.313245
MIMAT0006603	0.3416244	0.0199154916	0.36220953	0.7505368	NA
MIMAT0006604	1393.257	0.0440104571	0.12401603	0.5641866	0.8016908
MIMAT0006605	140.9159	0.2418892545	0.22413509	0.0395167	0.2187532
MIMAT0006606	322.3801	0.0527142759	0.24439226	0.552646	0.800562
MIMAT0006607	32.41192	0.1734131881	0.23390594	0.1092505	0.3445743
MIMAT0006608	193.8259	0.1879101767	0.19396317	0.0759666	0.3098638
MIMAT0006609	149.0597	1.5753340694	0.28271798	4.202845e-09	3.257205e-07
MIMAT0006610	10252.4	-0.0314163086	0.15184305	0.7076171	0.8774452
MIMAT0006612	54.66974	-0.0349829436	0.1634139	0.6821774	0.8754395
MIMAT0006613	386.2204	-0.0889250697	0.15942995	0.3169023	0.5711611
MIMAT0006614	9375.725	-0.1146193543	0.16722964	0.216543	0.4946737
MIMAT0006615	6962.16	-0.1767910825	0.24235491	0.106592	0.3445743
MIMAT0006616	11346.82	-0.0307660335	0.12148652	0.6824087	0.8754395
MIMAT0006617	39.85358	0.0623335841	0.13377816	0.4381747	0.7225221
MIMAT0006618	3.555114	0.0923069202	0.2372828	0.3299469	NA
MIMAT0006619	18359.54	1.0388761554	0.69591278	0.001163109	0.01502349
MIMAT0006620	10.82304	-0.1873216655	0.29070381	0.1039531	0.3445743
MIMAT0006621	3.252679	-0.1199492236	0.2838818	0.2366921	NA
MIMAT0006622	11.69057	0.2554511043	0.25741839	0.03905813	0.2187532
MIMAT0006623	177.9538	-0.0607938961	0.16989457	0.4889719	0.7392047
MIMAT0006624	28.79859	-0.1241359337	0.17950279	0.1947731	0.4946737
MIMAT0006625	122.2744	0.0578649597	0.14173255	0.4841266	0.7392047
MIMAT0006626	2001.342	-0.0102002893	0.11075956	0.8850485	0.9798752
MIMAT0006627	844.1224	-0.0062085095	0.08240567	0.9100578	0.9846415
MIMAT0010196	1.659798	0.0151340747	0.28881861	0.8557655	NA
MIMAT0006628	3.944839	-0.0050294262	0.22094996	0.9528775	NA
MIMAT0006629	1.529981	-0.0931546139	0.30912002	0.3294245	NA
MIMAT0011132	158856.1	0.2013070476	0.17236073	0.05186666	0.2299968
MIMAT0032036	159848.3	0.2010711097	0.17207464	0.05193475	0.2299968
MIMAT0006630	0.08046057	-0.0016544046	0.38419228	0.9677118	NA
MIMAT0006631	199.0824	-0.3321657415	0.2348144	0.011264	0.09699558
MIMAT0006632	73.33882	-0.0632372471	0.16791986	0.4717462	0.7392047
MIMAT0006633	858.318	0.2653413305	0.17657177	0.01764979	0.1439851
MIMAT0006634	522.9512	0.0921110302	0.14823391	0.2868695	0.5489479
MIMAT0006635	15.18794	-0.1252800866	0.22333534	0.2086045	0.4946737
MIMAT0006636	104.1691	-0.4320747086	0.29358867	0.00521663	0.05390517
MIMAT0006637	122270.8	0.0241549353	0.10289454	0.7165437	0.8814625
MIMAT0006638	49695.52	0.0343476165	0.11534205	0.6359776	0.8425344
MIMAT0006639	425.5459	0.2542422676	0.29603904	0.04691862	0.2299968
MIMAT0006640	67.88451	-0.012427863	0.1479261	0.8803808	0.9798752
MIMAT0006641	73.94247	-0.0700240698	0.15007597	0.4126042	0.6960453
MIMAT0006642	233.3957	-0.1093098279	0.19320382	0.2513026	0.5335878
MIMAT0006643	0.8462478	0.1209263398	0.39731983	0.1919085	NA
MIMAT0006644	79.5449	-0.2134774293	0.1963733	0.05137968	0.2299968
MIMAT0006645	7.815514	0.1239648804	0.2611245	0.2211049	0.496685
MIMAT0006646	4.968247	0.0149168694	0.18479926	0.8614608	NA
MIMAT0006647	1243.342	0.1434075645	0.14982424	0.1162057	0.3531742
MIMAT0006648	333428.7	0.0457758252	0.10705391	0.5030401	0.7497232
MIMAT0006649	85.95839	-0.0264945981	0.15780938	0.7536811	0.8986198
MIMAT0006650	7.430094	0.0963397327	0.21892056	0.309391	0.5641835
MIMAT0006651	3195.515	0.0715919896	0.11081318	0.3080206	0.5641835
MIMAT0006652	5.63086	0.2110967641	0.32216324	0.08394713	NA
MIMAT0006653	2077.806	0.3491892661	0.22878808	0.008151313	0.07896584
MIMAT0006654	7.938857	-0.1845805177	0.24816149	0.09741738	0.3431749
MIMAT0006655	453.8772	-0.0711999889	0.12720164	0.3623252	0.6416599
MIMAT0006656	75.02563	1.6463194763	0.35989745	4.058799e-07	1.572785e-05
MIMAT0006657	1.237189	0.0683432301	0.3272321	0.4352715	NA
MIMAT0006658	5768.051	-0.5052639738	0.24011157	0.0008008702	0.01241349
MIMAT0006659	336.1501	-0.15614995	0.16782788	0.1086917	0.3445743
MIMAT0006660	1572.03	-0.0962934851	0.13372586	0.2395425	0.5156818
MIMAT0006661	726.2031	0.1246112615	0.15460966	0.170396	0.4487856
MIMAT0006662	7.28064	0.1293339762	0.33511363	0.2130913	0.4946737
MIMAT0006663	5.235072	-0.0136623061	0.18793907	0.8729754	NA
MIMAT0006664	92.05521	-0.9555806658	0.39431283	0.0001809112	0.004673539
MIMAT0006665	206.8832	-0.0822747054	0.11686404	0.2638203	0.5451681
MIMAT0006666	1793.009	-0.175172285	0.1727351	0.08153297	0.313245
MIMAT0006667	0.4059625	-0.0009121335	0.35200741	0.9890356	NA
MIMAT0006668	124.1849	0.8173253892	0.39654629	0.0004682227	0.009071814
MIMAT0006669	2432.768	0.2233855657	0.17447857	0.03610285	0.2152285
MIMAT0006670	174.2065	1.5794968957	0.24549569	2.499508e-11	3.874238e-09
MIMAT0006671	660.9562	0.0330199859	0.1340691	0.6785133	0.8754395
