gene_id	Control_10314111	Control_10317082	Control_10324116	Control_10334619	Control_10335852	Control_10338316	Control_10339215	Control_10339998	BOAS_severe_10341251	Control_10506620	BOAS_mild_10509147	BOAS_severe_10511642	BOAS_mild_10516670	Control_10526659	BOAS_severe_10527154	Control_10531707	Control_10534541	BOAS_mild_10534983	BOAS_mild_10535209	Control_10535695	BOAS_severe_10536398	BOAS_severe_10536556	BOAS_mild_10536826	BOAS_severe_10536902	BOAS_severe_10537010	BOAS_mild_10537769	BOAS_severe_10538146	BOAS_severe_10538239	BOAS_mild_10538347	BOAS_mild_10538507	BOAS_severe_10539019	BOAS_mild_10539157	BOAS_severe_10539285	Control_10539336	BOAS_severe_10539371	BOAS_mild_10539382	BOAS_mild_10539885	BOAS_mild_10540539	BOAS_severe_10541950	Control_10543018	BOAS_severe_10543025	BOAS_mild_10543865	BOAS_severe_10544803	BOAS_mild_10546601	BOAS_mild_10547058
MIMAT0001539	4.70497615	4.00932254	4.37411334	3.80476585	4.21273815	3.45843126	2.921906709	4.63545748	2.91362223	3.77595294	3.447633017	3.58152502	3.14361557	3.16691083	2.600748386	3.45860022	3.79147905	2.62259656	2.20760643	3.19314753	2.97549825	2.97589956	2.78391042	3.4256965	2.86648953	3.01221757	2.18400268	3.9951151	2.6645629	3.3744903	3.66771234	2.5152148	2.72397776	3.471269948	4.00633154	3.8220965	2.014447027	3.082532712	3.13619702	3.97726961	2.93963829	2.97874834	4.47478773	3.68120358	3.43455399
MIMAT0001540	5.37988071	4.97615244	4.60000269	4.5614555	5.400744195	4.84848879	6.149821014	4.71315491	5.4465249	4.88045682	5.301214422	5.34959472	5.46012046	5.1598259	6.54568247	5.44105637	4.94387812	4.30102305	6.14830454	5.28965408	5.47624521	5.64158971	4.4524824	5.96250932	6.26978169	4.32109906	4.35267996	4.96174712	4.99663809	5.4400112	5.64689988	4.54444157	5.34076615	5.736453383	5.35723667	5.14052563	4.674800306	5.264519675	5.44941862	4.83241906	5.70097292	5.77780122	4.07828947	5.19967961	4.33665791
MIMAT0001544	-0.76538179	-0.76037159	-0.75457947	-0.7842535	-0.130822537	-0.75013803	-0.714853971	-0.759012	-0.77568697	-0.760962	-0.78772261	0.56485278	-0.55669625	-0.77688213	-0.791199438	-0.75721656	-0.78646879	-0.60721989	-0.77316657	-0.54283685	-0.78386201	-0.52450468	-0.77725207	-0.76575471	-0.13284792	-0.79945314	-0.7772925	-0.11055893	-0.77714074	-0.61487507	-0.77094385	-0.7897637	-0.78187241	-0.524617714	-0.76367294	-0.11491301	-0.689737327	-0.793225779	-0.24818817	-0.74181935	-0.76510847	-0.77798668	-0.75740838	-0.7583604	-0.78341972
MIMAT0001548	6.42463476	4.12261014	5.24893035	4.74249443	5.386605938	4.58085218	5.422548105	5.30624317	4.51337771	5.27297124	4.900440531	5.40409227	5.68612464	5.79062169	4.466537205	6.08105679	5.14181331	5.28774212	5.7484888	5.8021951	5.38297992	5.452437	4.65102878	5.48104506	4.9117039	4.03991404	4.28440293	4.98787637	5.49153235	5.1474779	4.062474	5.20271237	5.81830649	6.129938704	4.82345683	6.03904563	4.978077324	5.206638653	5.02837473	5.47773829	4.37045194	5.12144409	4.96647397	4.95125104	4.87366322
MIMAT0006593	-0.44759856	-0.44421211	-0.43384101	-0.46158898	0.103269343	-0.42318826	-0.387455451	-0.44328168	-0.45543186	-0.44461277	-0.319045788	-0.46629632	0.28938154	-0.27742038	-0.466353997	-0.44015241	-0.18704951	-0.3259495	-0.10437456	-0.4551068	-0.46131444	-0.45206342	-0.45658047	-0.23266572	-0.14222049	-0.09936803	-0.27903014	0.12419699	-0.45649911	-0.33226839	-0.45188462	-0.32668504	-0.15882113	-0.261475918	0.10734088	-0.44525225	-0.243542529	-0.467706941	-0.13968001	-0.40690188	-0.4473843	0.20333978	-0.44061123	-0.4428242	-0.4610035
MIMAT0006594	16.27650927	14.89170935	15.06691814	15.18116737	14.90358144	14.67295651	14.763449136	15.03196017	15.19690246	15.05756677	14.921356293	15.49092082	15.22276341	15.07969027	14.576694557	14.41592613	15.03416438	15.57534743	15.00004948	14.99156721	14.94945832	14.85885279	15.22241919	14.79212278	14.9159301	15.75825359	14.88172464	15.08946623	14.86170548	15.33064191	14.90977381	15.59856725	14.90480941	14.971230342	14.91984139	14.60637337	16.254662063	15.005110597	15.05335593	14.71754474	14.97128034	14.99275771	15.45139632	14.98132513	15.14675646
MIMAT0006595	13.24256546	11.1829182	11.40816511	12.62798488	12.275129284	11.57716984	11.675364932	11.5463539	11.14145819	12.47938328	11.796671736	12.78656554	12.72012109	12.10622282	11.531818409	11.88968747	11.61724302	12.39815419	12.65702576	11.8517608	12.26791193	12.0147317	11.25646827	11.83572304	11.78971143	11.16004594	10.65114678	12.22051842	11.09297391	12.20201928	11.39786959	11.11418055	12.72940473	12.273646911	12.58960679	11.55628998	12.840916535	11.262643984	11.4437941	11.58849025	10.75134391	11.8074568	12.32501482	11.50092944	11.67971332
MIMAT0006596	2.38242829	2.13670495	2.0534621	2.4360412	1.49195561	2.3479341	2.034340417	2.2625354	1.87529636	1.68788276	1.947905244	1.9840704	2.14252009	2.48851764	2.177064903	2.03221694	2.04211934	1.75519203	1.89769621	2.70205324	1.80388665	2.22904504	1.61109408	2.29351916	1.86624169	1.42922623	1.61090583	2.00020491	1.74310886	1.74086975	1.91760028	2.07180414	2.5132895	1.821325356	1.98162638	2.12312978	1.872772546	2.385737116	1.73170069	1.53233004	1.4904571	2.05889254	1.50422547	2.02310607	1.58296527
MIMAT0006597	2.10506569	3.56845329	2.55993437	2.86440729	2.31248674	3.5097312	2.909104471	2.52484363	3.13771442	2.66228648	2.877128594	2.88182495	3.37805119	3.45281406	2.533226693	3.16252092	3.43771025	2.84696834	3.03285098	2.51835452	2.79625329	2.68286108	3.65781404	3.29652906	3.10676332	3.87767292	2.97068879	3.01684733	2.4985077	2.81893487	2.89347131	3.01698229	2.55701182	3.064567241	2.31594754	3.19332923	3.575689735	3.631766813	3.3697074	2.19117485	3.15320183	2.7972061	3.1601677	3.05051898	3.33124001
MIMAT0006598	0.49108085	0.03657714	-0.19949743	-0.22767507	0.208534718	-0.19529531	-0.154974038	-0.20355082	0.26883565	-0.2052898	-0.230879215	-0.23395548	-0.22206594	-0.22067112	0.030967607	-0.20192581	-0.22972786	0.15231391	0.14909863	-0.21908045	0.83907547	-0.2150658	-0.22102906	-0.20958134	0.10796974	-0.12455591	0.57099338	0.03315283	-0.22092141	-0.23409206	-0.00685177	-0.23273741	-0.22544201	-0.0178772	-0.2076626	-0.20612603	0.069014267	-0.235844153	0.11179975	0.52659	0.0187178	0.11707846	-0.20210051	0.04431083	0.08141103
MIMAT0006599	6.16880284	5.05785717	4.86972634	4.28947906	5.09297517	4.54626661	3.379051896	5.11564245	4.14794385	5.11634396	6.140351558	5.56550244	4.83345743	4.59756517	4.745202976	4.50654698	4.81143305	5.68079716	3.83153846	4.73920452	4.82134452	4.88982559	4.96830016	5.24041868	4.87362202	3.60855513	4.46920497	5.45028364	5.11935091	5.90581831	4.82654864	4.90943424	4.53238014	4.748282054	4.28362386	4.99631765	5.857550791	4.351692827	4.7633877	5.45605677	4.6082122	5.62212536	5.85639931	4.66117458	5.50225211
MIMAT0006600	-1.33975145	-1.33296215	-1.04570226	-1.37216504	-1.33814748	-1.31928657	-1.299347726	-1.33114842	-1.35684986	-1.33374969	-1.376034326	-1.37698915	-1.36144325	-1.2191519	-1.37701301	-1.32875255	-1.24227952	-1.37655651	-1.3525554	-1.35609367	-1.3714367	-1.34922528	-1.3595599	-1.34035131	-1.08460454	-1.37923733	-1.35963038	-0.9148698	-1.35936596	-1.15248536	-1.34883291	-0.80966121	-1.36778127	-1.379069715	-1.33736603	-1.33501507	-1.381329238	-1.263394023	-1.3622523	-1.3101988	-1.33931254	-1.36084422	-1.1892443	-1.33027903	-1.37061753
MIMAT0007747	1.50028549	1.91750001	1.20965728	1.91229616	1.351358518	2.03178699	0.9958476	1.93236077	0.90646935	1.17890264	1.173076213	1.14751893	1.49657696	1.25515411	1.146872206	1.19679786	1.67100011	1.88524172	1.11546887	2.05357234	1.20221876	1.68671341	0.90291432	2.39976587	1.00086771	1.08464817	1.09328478	1.17744281	1.09409683	1.14637405	0.91737038	1.02743983	1.55954587	0.980531496	1.51442863	1.36673834	1.101086545	1.335429572	1.08530487	1.84636031	1.15948221	1.24674892	0.94667968	1.19128711	1.06072924
