task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	9a/a7652b	36297642	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:VALIDATOR (samplesheet.csv)	COMPLETED	0	2023-11-22 08:14:46.755	56.9s	14s	91.5%	457.1 MB	627.4 MB	73.6 MB	153.4 KB
2	f7/e6234d	36297685	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_MATRIXFILTER ([id:study])	COMPLETED	0	2023-11-22 08:15:45.121	53.6s	0ms	82.1%	5.4 MB	83.2 MB	6 MB	68.3 KB
6	18/403f26	36297689	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:phenotype_BOAS_mild_vs_BOAS_severe, variable:phenotype, reference:BOAS_mild, target:BOAS_severe, blocking:])	COMPLETED	0	2023-11-22 08:16:40.066	1m 24s	40s	147.5%	708.5 MB	1.7 GB	38.8 MB	1.1 MB
3	05/271c4d	36297690	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:phenotype_Control_BOAS_severe, variable:phenotype, reference:Control, target:BOAS_severe, blocking:])	COMPLETED	0	2023-11-22 08:16:40.098	2m 29s	36s	158.1%	720.9 MB	1.7 GB	38.8 MB	1.1 MB
5	57/256775	36297691	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:phenotype_Control_BOAS_mild, variable:phenotype, reference:Control, target:BOAS_mild, blocking:])	COMPLETED	0	2023-11-22 08:16:40.137	3m 24s	17s	204.4%	716.9 MB	1.7 GB	38.8 MB	1.1 MB
7	52/b2965d	36297692	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_DIFFERENTIAL ([id:phenotype_Control_BOAS_mild_severe, variable:phenotype2, reference:Control, target:BOAS, blocking:])	COMPLETED	0	2023-11-22 08:16:40.183	4m 14s	35s	163.8%	717.4 MB	1.7 GB	38.8 MB	1.1 MB
4	bb/2b4ef8	36297693	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:DESEQ2_NORM ([id:phenotype_Control_BOAS_severe, variable:phenotype, reference:Control, target:BOAS_severe, blocking:])	COMPLETED	0	2023-11-22 08:16:40.230	4m 28s	16s	204.2%	714.9 MB	1.7 GB	38.8 MB	1.1 MB
8	31/b7e597	36297701	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_DIFFERENTIAL (phenotype_BOAS_mild_vs_BOAS_severe)	COMPLETED	0	2023-11-22 08:21:08.812	49.9s	14s	93.0%	592.6 MB	774.6 MB	74 MB	97.3 KB
14	e9/170f90	36297702	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_DIFFERENTIAL (phenotype_Control_BOAS_mild_severe)	COMPLETED	0	2023-11-22 08:21:08.856	54.9s	12s	97.0%	586.6 MB	754.8 MB	74 MB	86 KB
9	3c/cdf790	36297707	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:SHINYNGS_APP (study)	COMPLETED	0	2023-11-22 08:21:09.083	1m 15s	11s	96.2%	553.9 MB	724.5 MB	74.1 MB	170.5 KB
10	a8/0a2e2f	36297705	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_DIFFERENTIAL (phenotype_Control_BOAS_severe)	COMPLETED	0	2023-11-22 08:21:08.991	1m 20s	12s	96.2%	592.7 MB	774.6 MB	74 MB	83.1 KB
12	9d/4aff80	36297706	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_DIFFERENTIAL (phenotype_Control_BOAS_mild)	COMPLETED	0	2023-11-22 08:21:09.036	1m 20s	13s	95.7%	596.5 MB	784.9 MB	74 MB	83.1 KB
11	9e/53f862	36297703	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_EXPLORATORY (phenotype)	COMPLETED	0	2023-11-22 08:21:08.898	3m 10s	2m 25s	100.2%	2.3 GB	2.6 GB	74.6 MB	527.6 KB
13	0b/11e20f	36297704	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:PLOT_EXPLORATORY (phenotype2)	COMPLETED	0	2023-11-22 08:21:08.945	3m 30s	2m 38s	98.8%	2 GB	2.3 GB	74.6 MB	429.4 KB
15	67/8a4cf7	36297712	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:CUSTOM_DUMPSOFTWAREVERSIONS (1)	COMPLETED	0	2023-11-22 08:24:40.033	43.7s	90ms	68.7%	9.2 MB	19.9 MB	1 MB	2.8 KB
16	73/ee32f6	36297714	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:RMARKDOWNNOTEBOOK (study)	COMPLETED	0	2023-11-22 08:25:23.982	1m 5s	23s	102.6%	1.2 GB	17.3 GB	72.4 MB	17.7 MB
17	ac/9e86d1	36297718	NFCORE_DIFFERENTIALABUNDANCE:DIFFERENTIALABUNDANCE:MAKE_REPORT_BUNDLE (study)	COMPLETED	0	2023-11-22 08:26:29.691	44s	0ms	75.2%	493 MB	577 MB	904.6 KB	351.4 KB
